Feature,Importance
y_10,0.015462453664641846
y_11,0.0144912520511136
Y_19,0.014391140389754104
x_16,0.014176285233302492
y_0,0.014085116924598991
y_49,0.013751279965036212
y_1,0.012816946525757933
eye_lmk_y_0,0.012562398059715436
p_rz,0.012452171673836117
y_4,0.012299645760219106
y_36,0.012171037551907666
y_6,0.011752512176424692
Y_20,0.011244931376007067
eye_lmk_y_13,0.011110820144015392
y_61,0.011011289599491249
y_31,0.01099797762167589
eye_lmk_y_27,0.01095840621238142
y_37,0.010803671299609378
eye_lmk_y_25,0.0104795287719419
eye_lmk_y_10,0.01043423621882182
AU14_r,0.009418946271936674
y_48,0.009338145310350071
y_60,0.009066517766221437
y_50,0.008737083418786665
AU12_r,0.008502104365541918
p_ty,0.008380858497730747
eye_lmk_y_8,0.008301383961212003
Y_18,0.008206483049838054
eye_lmk_y_21,0.008171743969491625
x_12,0.00796495947800167
y_3,0.007938957128033091
y_52,0.007792427173705288
X_13,0.007699778730936466
y_56,0.007244159707761947
y_2,0.007133972261045614
y_64,0.007017746586625977
y_55,0.007016933571385747
Y_23,0.006950730638466547
p_10,0.006833072471494096
x_15,0.006283468038998128
eye_lmk_y_15,0.006230173615336562
x_13,0.006209163424301899
Y_0,0.0061251314353029385
y_53,0.006043488783737787
eye_lmk_Z_45,0.005964103653850775
y_35,0.005728160208021012
y_39,0.00572780258436632
y_58,0.005727357032650263
eye_lmk_y_9,0.005657696639468332
Y_22,0.005605588775150927
x_11,0.005598703846161044
y_41,0.0055135192882609105
y_54,0.0054963838939120265
X_11,0.0054809514896397935
y_62,0.005380835354250034
eye_lmk_y_14,0.0053077519321470265
eye_lmk_y_22,0.005303306695752197
eye_lmk_y_4,0.005299669637011124
y_67,0.004993710587079303
y_12,0.004874406047783199
pose_Ry,0.004810230117040033
p_15,0.004731794024630881
Y_26,0.004645338916108934
p_2,0.0046355099236990846
pose_Rx,0.004443001817215753
X_12,0.004387845664274039
Y_8,0.0043299169250533035
x_9,0.004300086677293995
eye_lmk_Z_34,0.004260519878288364
Z_3,0.004175988731936325
X_14,0.00409515702361564
y_57,0.0040845322534443776
Y_24,0.004080853294264549
p_rx,0.0040263774403097394
eye_lmk_y_5,0.003872788579396321
Z_12,0.003870079515993355
y_8,0.0038331675019516905
y_63,0.0038308554898559004
Z_48,0.00382801791918608
Y_21,0.0037942120401652855
y_7,0.003743044513669854
Y_60,0.0037413055238400147
y_66,0.0036411202299521596
AU10_r,0.003619835977919913
x_64,0.003614696669502202
Z_60,0.003598151170829319
Z_66,0.0035721531535641616
y_59,0.0035529994661472448
eye_lmk_y_11,0.003436349622854061
X_9,0.0033442638200287434
Y_1,0.003326070240929499
eye_lmk_y_26,0.0032724617730709505
eye_lmk_y_6,0.003247080414574541
eye_lmk_y_24,0.0031402478102265903
eye_lmk_y_40,0.0031196128991071927
pose_Rz,0.0031124936145264957
Y_48,0.003052390514637686
eye_lmk_y_20,0.003016444225508098
eye_lmk_y_7,0.003014168056939639
Z_9,0.002991995893690758
y_65,0.0029881628750364512
Y_66,0.0029505702471935525
Y_27,0.00294774563612715
eye_lmk_Z_51,0.0028721254405236064
y_34,0.0028395003463507263
Y_62,0.002823844539089567
y_40,0.002796898888257168
Y_14,0.002776794472086873
y_38,0.0027454126313047004
eye_lmk_y_1,0.002742046307519194
eye_lmk_y_19,0.0027278045217457602
p_ry,0.002699028095693069
Z_54,0.002693021622907624
y_13,0.00268647129004146
x_14,0.002684926963222668
Y_17,0.0025882769973635334
y_28,0.0025828582674023238
gaze_0_x,0.002554977844500919
y_32,0.0025401543240648737
X_10,0.0025187795873763213
eye_lmk_y_41,0.0024961084369563356
x_54,0.002485655342660169
X_15,0.002484107875017182
eye_lmk_y_50,0.002483792190678332
Z_31,0.0024463567661147027
y_30,0.0024375483927281238
x_55,0.002431190164087259
Z_15,0.0024269014635659026
y_20,0.0024039397946195276
Z_64,0.0024020025125317474
eye_lmk_Z_43,0.002386956728064813
eye_lmk_Z_47,0.002369752915129991
X_54,0.0023498806441393165
y_51,0.0023126115566983805
eye_lmk_y_17,0.002288726432843894
Y_33,0.0022759228278155957
x_10,0.0022659774680900925
y_33,0.002248275895688977
Z_16,0.0021801047101122194
Z_67,0.0021747006315412194
eye_lmk_Z_36,0.0021544911140893726
p_13,0.0021379917993625073
y_5,0.002120291212054185
y_17,0.0020934827822257683
X_53,0.002033201811262686
X_16,0.002024826581695215
x_63,0.0020062961202298897
x_7,0.0019976601774522244
eye_lmk_Z_54,0.0019157054407927838
AU06_r,0.001915372356781776
p_4,0.0018476656803630598
eye_lmk_Z_52,0.001844599398678452
eye_lmk_Z_37,0.0018284197939737793
eye_lmk_Z_53,0.0018003123247480948
Y_37,0.001788772999249893
eye_lmk_Z_42,0.0017752454579530435
X_65,0.001759209770603432
Y_64,0.0017525133949791128
Z_52,0.00174424411269352
eye_lmk_X_8,0.001730566597698332
Y_52,0.0017263069041059973
Z_4,0.0017205604578458978
eye_lmk_x_3,0.0017180200825287805
X_34,0.0016806864292288862
eye_lmk_Z_50,0.001661361265625697
pose_Tz,0.001649842722691097
eye_lmk_Z_20,0.0016366896055013758
Z_5,0.0016194342974124004
Z_43,0.0015801866097447785
Y_57,0.0015574535700864488
p_scale,0.001532401904425586
y_9,0.00149598379588406
Y_29,0.0014935582612952674
Z_33,0.0014502341885469642
eye_lmk_y_54,0.0014457815856962536
Z_1,0.0014417438406473468
eye_lmk_Z_35,0.0014315688044903019
Z_8,0.001425148562963562
Y_50,0.0013951940383922458
X_37,0.0013628957823975587
eye_lmk_Z_18,0.0013491098831722834
p_3,0.001343166349592716
Z_49,0.001336114360114873
Z_11,0.0013337160859511735
AU12_c,0.001301741959538441
eye_lmk_Z_4,0.0013007953402562364
eye_lmk_x_43,0.0012909666476360266
Z_28,0.0012897647294632484
Y_28,0.0012894875528097593
p_6,0.001287638450580465
X_64,0.0012815315932222593
p_24,0.0012370646693476402
eye_lmk_Z_29,0.0012122571943695285
Z_13,0.0012040411358431539
x_53,0.0011993399187467774
eye_lmk_x_12,0.0011849569579632895
y_16,0.0011839639697982579
Y_47,0.0011773104199227966
eye_lmk_X_44,0.0011581177147470265
Z_56,0.0011507454592917916
p_26,0.001150467116483163
y_18,0.001145749570219327
p_19,0.0011449719730699428
X_49,0.001141224299958127
eye_lmk_X_19,0.001140652880249072
Y_51,0.0011397159859088553
y_22,0.0011284974854564086
x_24,0.001104282149200255
Z_40,0.001103270796267436
eye_lmk_X_9,0.0011030585213619726
